"Formatted_FIPS","County","State","Deaths","Population","Age_Adjusted_Rate"
"42001","Adams","PA","1043","1876488","0.443242"
"42003","Allegheny","PA","17207","23565126","0.536771"
"42005","Armstrong","PA","906","1321713","0.473693"
"42007","Beaver","PA","2507","3290747","0.520844"
"42009","Bedford","PA","599","940304","0.444385"
"42011","Berks","PA","4124","7613188","0.451774"
"42013","Blair","PA","1654","2411912","0.493142"
"42015","Bradford","PA","775","1182921","0.480977"
"42017","Bucks","PA","6353","11741775","0.457095"
"42019","Butler","PA","1992","3450769","0.466931"
"42021","Cambria","PA","1813","2739263","0.441142"
"42023","Cameron","PA","77","99927","0.473638"
"42025","Carbon","PA","877","1194356","0.517658"
"42027","Centre","PA","986","2852683","0.379202"
"42029","Chester","PA","4119","9173967","0.416709"
"42031","Clarion","PA","449","763128","0.459343"
"42033","Clearfield","PA","1040","1556534","0.484246"
"42035","Clinton","PA","492","737596","0.523997"
"42037","Columbia","PA","725","1253180","0.451532"
"42039","Crawford","PA","1180","1684899","0.532398"
"42041","Cumberland","PA","2271","4385671","0.412765"
"42043","Dauphin","PA","2723","5007988","0.463949"
"42045","Delaware","PA","6730","10578835","0.532583"
"42047","Elk","PA","444","620977","0.485036"
"42049","Erie","PA","3398","5305845","0.540086"
"42051","Fayette","PA","2203","2650947","0.578364"
"42053","Forest","PA","112","130313","0.571524"
"42055","Franklin","PA","1678","2730398","0.469406"
"42057","Fulton","PA","162","277273","0.438092"
"42059","Greene","PA","522","739474","0.559635"
"42061","Huntingdon","PA","517","869801","0.460896"
"42063","Indiana","PA","866","1679611","0.412195"
"42065","Jefferson","PA","522","857191","0.428164"
"42067","Juniata","PA","246","458082","0.403925"
"42069","Lackawanna","PA","2756","4047006","0.481837"
"42071","Lancaster","PA","4764","9651640","0.412851"
"42073","Lawrence","PA","1274","1735805","0.492808"
"42075","Lebanon","PA","1642","2472487","0.497389"
"42077","Lehigh","PA","3502","6466930","0.442343"
"42079","Luzerne","PA","4204","6048563","0.485820"
"42081","Lycoming","PA","1437","2224979","0.495586"
"42083","McKean","PA","613","833579","0.552192"
"42085","Mercer","PA","1559","2225060","0.490147"
"42087","Mifflin","PA","624","884170","0.500471"
"42089","Monroe","PA","1819","3054375","0.546482"
"42091","Montgomery","PA","7746","15011048","0.415913"
"42093","Montour","PA","214","346907","0.438905"
"42095","Northampton","PA","3229","5495047","0.458193"
"42097","Northumberland","PA","1297","1783820","0.497792"
"42099","Perry","PA","522","856457","0.525630"
"42101","Philadelphia","PA","18235","28961134","0.609760"
"42103","Pike","PA","632","1024429","0.467498"
"42105","Potter","PA","273","334825","0.567540"
"42107","Schuylkill","PA","2208","2800291","0.543383"
"42109","Snyder","PA","347","745133","0.383722"
"42111","Somerset","PA","852","1481558","0.391353"
"42113","Sullivan","PA","98","122298","0.448903"
"42115","Susquehanna","PA","505","808190","0.447382"
"42117","Tioga","PA","525","792427","0.482839"
"42119","Union","PA","338","837086","0.343816"
"42121","Venango","PA","861","1048529","0.580481"
"42123","Warren","PA","574","796294","0.494096"
"42125","Washington","PA","3056","3917162","0.553349"
"42127","Wayne","PA","711","961360","0.500648"
"42129","Westmoreland","PA","4961","6923050","0.479162"
"42131","Wyoming","PA","339","533713","0.494569"
"42133","York","PA","4418","7967982","0.472742"
